SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit,score
1242,8,20,14,45,50,10,2.5,1.5,2.0,0.8,15,45,0.6864387504238012,-0.162990349667878,9854999.99999997,0.6049435755898622
896,12,30,18,30,50,21,2.5,1.0,2.0,1.0,10,55,0.6911678456626071,-0.1736283466230131,8460999.999999993,0.6043536723511006
349,5,30,18,45,55,14,4.0,1.5,2.0,0.8,10,55,0.7141509516177273,-0.2199781780934778,10759999.999999965,0.6041618625709885
1617,8,30,18,45,50,14,2.5,2.0,1.5,1.0,5,50,0.6972266352244787,-0.1932707355242565,9627999.999999978,0.6005912674623505
1254,8,25,18,40,50,21,5.0,0.5,1.5,0.8,5,50,0.6745542856442799,-0.1488174729677334,9580000.000000007,0.6001455491604132
2238,8,30,14,35,55,21,1.5,1.0,1.5,0.8,20,55,0.6714259414537307,-0.1448773755175707,8764999.999999978,0.5989872536949453
1811,15,40,10,45,55,10,1.5,1.5,1.5,1.0,15,55,0.7023602174221976,-0.2076356556336241,8996000.0,0.5985423896053855
2257,15,35,14,35,60,14,1.5,2.0,1.0,1.4,5,45,0.6626909185473429,-0.1283620775595656,7009999.999999985,0.5985098797675601
2068,12,35,14,35,55,10,2.0,1.5,1.5,1.4,5,50,0.6802644684302136,-0.1662801683414927,7880999.999999985,0.5971243842594672
788,8,40,10,35,70,10,1.5,1.5,1.0,1.4,10,50,0.6621678683891907,-0.1323401478903869,6878000.0,0.5959977944439973
1507,12,35,10,40,60,14,2.0,1.0,1.5,1.4,5,50,0.6728183226592326,-0.1540557939914163,7446999.999999985,0.5957904256635245
1472,5,35,14,35,65,14,4.5,2.0,2.0,1.4,5,50,0.6680857944843946,-0.1469124383368569,8009999.999999985,0.5946295753159662
2175,12,30,10,45,60,21,3.5,0.5,2.0,1.2,5,45,0.6867705329933871,-0.1870253571888274,8828999.99999997,0.5932578543989734
1930,15,30,10,25,60,14,5.0,2.0,1.5,1.4,20,45,0.6737650384471561,-0.1616145891248748,7641999.999999993,0.5929577438847187
17,8,40,14,30,60,21,2.0,1.5,2.0,1.4,5,50,0.6793257168828377,-0.174466785885637,7604000.000000015,0.5920923239400192
2450,15,40,18,35,50,14,4.5,1.5,2.0,1.0,15,55,0.6839619850240263,-0.1842930123820246,8969000.0,0.591815478833014
1265,10,20,10,35,65,21,2.0,2.0,1.5,1.2,5,45,0.6531472707342324,-0.1261958895166918,8511999.999999978,0.5900493259758866
707,15,25,10,40,55,14,2.0,1.5,1.0,0.8,20,50,0.6800316763205495,-0.1809333481366346,9252000.000000017,0.5895650022522322
1672,15,35,10,35,50,14,4.5,2.0,1.5,1.4,5,50,0.6591420929364269,-0.1408643271841005,7263999.999999985,0.5887099293443766
