,Date,Time,tickersymbol,Open,Close,High,Low,Volume
2618,2025-03-25,14:25:00,VN30F2504,1386.2,1386.2,1386.8,1385.6,337
2619,2025-03-25,14:30:00,VN30F2504,1386.3,1386.3,1386.3,1386.3,6
2620,2025-03-26,09:00:00,VN30F2504,1387.9,1388.4,1389.0,1387.3,270
2621,2025-03-26,09:05:00,VN30F2504,1388.8,1388.7,1389.0,1388.4,136
2622,2025-03-26,09:10:00,VN30F2504,1388.6,1388.5,1388.7,1388.1,147
2623,2025-03-26,09:15:00,VN30F2504,1388.6,1388.9,1389.0,1388.1,205
2624,2025-03-26,09:20:00,VN30F2504,1388.6,1389.8,1389.8,1388.4,304
2625,2025-03-26,09:25:00,VN30F2504,1390.0,1390.5,1391.0,1389.5,325
2626,2025-03-26,09:30:00,VN30F2504,1390.8,1389.5,1390.8,1389.3,163
2627,2025-03-26,09:35:00,VN30F2504,1389.2,1388.5,1389.3,1388.4,245
2628,2025-03-26,09:40:00,VN30F2504,1388.7,1389.5,1389.8,1388.6,324
2629,2025-03-26,09:45:00,VN30F2504,1389.5,1390.0,1390.0,1389.5,266
2630,2025-03-26,09:50:00,VN30F2504,1389.9,1390.7,1390.7,1389.5,227
2631,2025-03-26,09:55:00,VN30F2504,1390.8,1391.9,1392.3,1390.7,234
2632,2025-03-26,10:00:00,VN30F2504,1392.0,1391.5,1393.2,1391.5,276
2633,2025-03-26,10:05:00,VN30F2504,1391.6,1390.2,1391.7,1390.2,307
2634,2025-03-26,10:10:00,VN30F2504,1390.3,1389.9,1390.6,1389.7,296
2635,2025-03-26,10:15:00,VN30F2504,1389.8,1389.7,1390.2,1389.7,193
2636,2025-03-26,10:20:00,VN30F2504,1389.5,1389.2,1389.6,1388.9,248
2637,2025-03-26,10:25:00,VN30F2504,1389.1,1387.7,1389.6,1387.7,272
2638,2025-03-26,10:30:00,VN30F2504,1387.5,1386.8,1387.6,1386.0,352
2639,2025-03-26,10:35:00,VN30F2504,1386.6,1386.3,1387.0,1385.8,236
2640,2025-03-26,10:40:00,VN30F2504,1386.4,1387.2,1387.2,1386.2,150
2641,2025-03-26,10:45:00,VN30F2504,1387.1,1386.5,1387.1,1386.3,134
2642,2025-03-26,10:50:00,VN30F2504,1386.5,1385.8,1386.6,1385.0,202
2643,2025-03-26,10:55:00,VN30F2504,1386.1,1385.6,1386.3,1385.2,201
2644,2025-03-26,11:00:00,VN30F2504,1385.7,1384.9,1385.8,1384.5,251
2645,2025-03-26,11:05:00,VN30F2504,1385.1,1384.7,1385.7,1384.6,147
2646,2025-03-26,11:10:00,VN30F2504,1384.6,1386.0,1386.0,1384.6,409
2647,2025-03-26,11:15:00,VN30F2504,1386.1,1386.3,1387.0,1386.1,223
2648,2025-03-26,11:20:00,VN30F2504,1386.1,1385.8,1386.2,1385.4,107
2649,2025-03-26,11:25:00,VN30F2504,1385.9,1382.5,1385.9,1382.5,209
2650,2025-03-26,13:00:00,VN30F2504,1381.5,1382.3,1382.5,1381.1,238
2651,2025-03-26,13:05:00,VN30F2504,1382.7,1382.7,1382.9,1381.5,256
2652,2025-03-26,13:10:00,VN30F2504,1382.8,1383.6,1384.0,1382.7,190
2653,2025-03-26,13:15:00,VN30F2504,1383.2,1383.0,1384.0,1382.5,186
2654,2025-03-26,13:20:00,VN30F2504,1382.9,1383.4,1383.7,1382.8,133
2655,2025-03-26,13:25:00,VN30F2504,1382.8,1383.3,1384.3,1382.5,310
2656,2025-03-26,13:30:00,VN30F2504,1383.5,1385.0,1385.3,1382.9,181
2657,2025-03-26,13:35:00,VN30F2504,1384.9,1385.1,1385.2,1384.3,299
2658,2025-03-26,13:40:00,VN30F2504,1385.3,1385.5,1385.5,1384.6,305
2659,2025-03-26,13:45:00,VN30F2504,1385.3,1384.7,1385.9,1384.4,283
2660,2025-03-26,13:50:00,VN30F2504,1384.9,1383.0,1385.0,1383.0,255
2661,2025-03-26,13:55:00,VN30F2504,1382.7,1383.3,1383.9,1382.5,256
2662,2025-03-26,14:00:00,VN30F2504,1383.2,1382.0,1384.8,1381.6,222
2663,2025-03-26,14:05:00,VN30F2504,1381.7,1382.0,1383.4,1381.3,252
2664,2025-03-26,14:10:00,VN30F2504,1381.9,1381.4,1382.5,1380.8,193
2665,2025-03-26,14:15:00,VN30F2504,1381.5,1377.0,1381.5,1376.0,309
2666,2025-03-26,14:20:00,VN30F2504,1376.4,1379.6,1379.9,1376.4,151
2667,2025-03-26,14:25:00,VN30F2504,1379.1,1379.5,1380.1,1378.2,294
