Minute,tickersymbol,High,Low,Close,Volume,Open
2022-12-14 10:08,VN30F2212,1071.30,1048.50,1059.60,77623,1059.60
2022-12-14 10:08,VN30F2301,1068.00,1049.20,1059.00,2711,1059.00
2022-12-14 10:09,VN30F2212,1071.30,1048.50,1059.60,78983,1059.60
2022-12-14 10:09,VN30F2301,1068.00,1049.20,1059.00,2742,1059.00
2022-12-14 10:09,VN30F2303,1055.10,1041.00,1047.30,72,1047.30
2022-12-14 10:09,VN30F2306,1048.80,1032.00,1038.60,47,1038.60
2022-12-14 10:10,VN30F2212,1071.30,1048.50,1059.60,79870,1059.60
2022-12-14 10:10,VN30F2301,1068.00,1049.20,1059.00,2762,1059.00
2022-12-14 10:11,VN30F2212,1071.30,1048.50,1059.60,80968,1059.60
2022-12-14 10:11,VN30F2301,1068.00,1049.20,1059.00,2773,1059.00
2022-12-14 10:12,VN30F2212,1071.30,1048.50,1059.60,81518,1059.60
2022-12-14 10:12,VN30F2301,1068.00,1049.20,1059.00,2797,1059.00
2022-12-14 10:13,VN30F2212,1071.30,1048.50,1059.60,82546,1059.60
2022-12-14 10:13,VN30F2301,1068.00,1049.20,1059.00,2832,1059.00
2022-12-14 10:14,VN30F2212,1071.30,1048.50,1059.60,83517,1059.60
2022-12-14 10:14,VN30F2301,1068.00,1049.20,1059.00,2844,1059.00
2022-12-14 10:15,VN30F2212,1071.30,1048.50,1059.60,84081,1059.60
2022-12-14 10:15,VN30F2301,1068.00,1049.20,1059.00,2868,1059.00
2022-12-14 10:16,VN30F2212,1071.30,1048.50,1059.60,84919,1059.60
2022-12-14 10:16,VN30F2301,1068.00,1049.20,1059.00,2894,1059.00
2022-12-14 10:17,VN30F2212,1071.30,1048.50,1059.60,85645,1059.60
2022-12-14 10:17,VN30F2301,1068.00,1049.20,1059.00,2920,1059.00
2022-12-14 10:17,VN30F2303,1055.10,1041.00,1047.30,73,1047.30
2022-12-14 10:17,VN30F2306,1048.80,1032.00,1038.60,48,1038.60
2022-12-14 10:18,VN30F2212,1071.30,1048.50,1059.60,86916,1059.60
2022-12-14 10:18,VN30F2301,1068.00,1049.20,1059.00,2928,1059.00
2022-12-14 10:18,VN30F2306,1048.80,1032.00,1038.60,49,1038.60
2022-12-14 10:19,VN30F2212,1071.30,1048.50,1059.60,90815,1059.60
2022-12-14 10:19,VN30F2301,1068.00,1049.20,1059.00,3069,1059.00
2022-12-14 10:19,VN30F2306,1048.80,1032.00,1038.60,50,1038.60
2022-12-14 10:20,VN30F2212,1071.30,1048.50,1059.60,93118,1059.60
2022-12-14 10:20,VN30F2301,1068.00,1049.20,1059.00,3174,1059.00
2022-12-14 10:21,VN30F2212,1071.30,1048.50,1059.60,94676,1059.60
2022-12-14 10:21,VN30F2301,1068.00,1049.20,1059.00,3315,1059.00
2022-12-14 10:22,VN30F2212,1071.30,1048.50,1059.60,95981,1059.60
2022-12-14 10:22,VN30F2301,1068.00,1049.20,1059.00,3346,1059.00
2022-12-14 10:23,VN30F2212,1071.30,1048.50,1059.60,97030,1059.60
2022-12-14 10:23,VN30F2301,1068.00,1049.20,1059.00,3393,1059.00
2022-12-14 10:24,VN30F2212,1071.30,1048.50,1059.60,98161,1059.60
2022-12-14 10:24,VN30F2301,1068.00,1049.20,1059.00,3450,1059.00
2022-12-14 10:25,VN30F2212,1071.30,1048.50,1059.60,100829,1059.60
2022-12-14 10:25,VN30F2301,1068.00,1049.20,1059.00,3510,1059.00
2022-12-14 10:26,VN30F2212,1071.30,1048.50,1059.60,102134,1059.60
2022-12-14 10:26,VN30F2301,1068.00,1049.20,1059.00,3539,1059.00
2022-12-14 10:26,VN30F2303,1055.10,1041.00,1047.30,75,1047.30
2022-12-14 10:27,VN30F2212,1071.30,1048.50,1059.60,103487,1059.60
2022-12-14 10:27,VN30F2301,1068.00,1049.20,1059.00,3576,1059.00
2022-12-14 10:28,VN30F2212,1071.30,1048.50,1059.60,104182,1059.60
2022-12-14 10:28,VN30F2301,1068.00,1049.20,1059.00,3616,1059.00
2022-12-14 10:29,VN30F2212,1071.30,1048.50,1059.60,104928,1059.60
2022-12-14 10:29,VN30F2301,1068.00,1049.20,1059.00,3646,1059.00
2022-12-14 10:30,VN30F2212,1071.30,1048.50,1059.60,105670,1059.60
2022-12-14 10:30,VN30F2301,1068.00,1049.20,1059.00,3741,1059.00
2022-12-14 10:30,VN30F2303,1055.10,1041.00,1047.30,76,1047.30
2022-12-14 10:31,VN30F2212,1071.30,1048.50,1059.60,106556,1059.60
2022-12-14 10:31,VN30F2301,1068.00,1049.20,1059.00,3779,1059.00
2022-12-14 10:32,VN30F2212,1071.30,1048.50,1059.60,107545,1059.60
2022-12-14 10:32,VN30F2301,1068.00,1049.20,1059.00,3818,1059.00
2022-12-14 10:33,VN30F2212,1071.30,1048.50,1059.60,108344,1059.60
