SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit
1437,12,35,18,25,55,10,1.5,2.0,1.5,1.2,5,55,1.6293289142384644,-0.15069613435991547,21613999.999999978
1438,15,25,18,25,65,10,4.5,0.5,2.0,1.2,5,50,1.2037520795473264,-0.18550599991808986,14365000.0
1439,10,40,18,40,65,21,4.5,1.5,1.0,1.0,10,50,1.9247185167248462,-0.0990732010210887,28753000.0
1440,12,35,10,45,70,14,2.0,1.0,2.0,0.8,10,50,1.3907250456692988,-0.13321671525753143,21350000.000000037
1441,8,30,10,30,50,21,4.5,0.5,1.5,1.0,5,50,1.0684856905806803,-0.16529661455637218,15638999.999999978
1442,12,40,14,45,60,14,2.0,1.0,1.5,1.4,20,50,0.6153296682652843,-0.16006080268620804,7046000.000000022
1443,12,25,18,45,55,10,4.0,1.5,1.5,1.2,5,50,0.8665887473578727,-0.185858911789618,11784999.999999985
1444,10,35,14,45,65,10,3.5,1.5,1.5,0.8,10,50,1.478276299184242,-0.13707819829513954,22962999.999999993
1445,15,20,10,35,70,14,3.0,1.5,2.0,0.8,15,45,1.427931418325913,-0.08956782869826367,19517000.000000022
1446,5,30,10,30,65,10,4.5,1.5,1.5,1.2,20,45,1.5856831279509067,-0.07976634755800771,20758999.999999993
1447,5,35,14,45,55,21,1.5,1.5,1.5,1.4,15,50,1.3740833023693864,-0.16779262584976373,18100999.99999997
1448,12,20,18,35,50,10,1.5,0.5,1.0,1.4,10,50,1.0187011934903865,-0.16853789772486533,11730999.999999993
1449,10,40,10,25,55,10,4.5,2.0,1.0,1.2,15,50,2.288257302656047,-0.10370504903741361,30929999.999999985
1450,10,30,18,45,65,10,4.0,2.0,1.5,0.8,5,50,1.2371509392752926,-0.11293287104724509,18186000.000000007
1451,12,25,14,40,65,21,5.0,0.5,1.0,0.8,5,50,1.3442679364088572,-0.0969721221822062,19813000.0
1452,10,20,18,30,55,14,4.0,2.0,1.0,0.8,10,50,0.906945413624671,-0.13849449069269307,12994000.000000007
1453,15,40,14,35,50,10,2.5,1.5,2.0,1.4,20,55,0.8446788791506403,-0.1756452122616663,10124000.000000022
1454,12,20,14,35,65,21,4.0,1.5,2.0,1.2,20,50,1.8402549856939368,-0.08253535044585088,23068999.999999978
1455,8,40,10,30,70,10,2.0,1.0,2.0,0.8,15,50,1.796153453244404,-0.08493195605837023,25951000.000000015
1456,12,30,10,45,70,10,2.0,1.0,1.0,1.0,10,55,1.471152018562391,-0.10288848511606577,20517000.000000015
1457,12,20,18,30,50,21,2.5,0.5,1.0,1.4,15,50,1.5873884357630073,-0.08973743893928804,17838000.0
1458,10,40,18,40,55,10,3.5,1.0,1.0,1.2,5,50,1.8618030000142063,-0.13813781996948624,26640999.99999997
1459,10,25,14,35,60,14,2.0,0.5,1.5,1.2,15,55,1.3595946794666396,-0.11118150750681549,17181999.999999985
1460,15,35,14,25,65,10,4.0,0.5,2.0,1.2,10,50,1.0704973029475855,-0.16943076790187442,13640999.999999993
1461,15,20,18,25,50,10,5.0,1.0,1.5,1.2,5,55,1.261002109962398,-0.1945707565660525,16528000.0
1462,12,35,14,30,60,10,5.0,0.5,1.0,1.4,5,55,1.6130610212029886,-0.09371017944057988,19286000.0
1463,5,40,14,30,50,14,1.5,1.0,1.5,1.2,15,45,1.128521086989553,-0.15700551108250524,13622999.99999997
1464,5,40,18,35,60,14,3.5,1.0,1.5,0.8,20,50,1.5734014225811763,-0.11536141316957746,21362000.000000007
1465,8,30,18,40,60,21,2.0,2.0,1.5,0.8,20,45,1.1769948108888981,-0.12736094828709152,15888000.0
1466,15,25,10,45,65,21,4.0,0.5,2.0,1.2,15,50,0.7911224662394661,-0.1639978444127948,9571999.999999993
1467,5,25,18,30,50,10,3.0,1.0,2.0,0.8,20,50,0.5464954683499182,-0.19263821254654812,6976000.0
1468,8,35,18,40,70,14,3.0,1.5,2.0,1.2,15,55,1.3380382369992763,-0.13290543905273045,16333000.000000007
1469,8,25,14,45,50,10,2.0,1.5,1.0,1.4,15,45,1.1306127878967334,-0.12590628141240867,13733999.999999985
1470,10,20,10,40,70,21,3.5,2.0,1.0,1.2,15,50,1.6110639242170772,-0.09790173380308602,20792000.0
1471,5,25,10,45,65,21,4.0,2.0,1.5,0.8,15,50,0.7918191468564187,-0.163188938923067,11987000.0
1472,5,35,14,35,65,14,4.5,2.0,2.0,1.4,5,50,0.6680857944843946,-0.14691243833685694,8009999.999999985
1473,15,30,10,40,60,10,3.0,0.5,1.5,1.0,10,45,1.0734010844539146,-0.16981885428487356,15320999.999999985
1474,10,35,10,30,70,14,3.5,2.0,2.0,0.8,15,55,1.854170387895592,-0.081681986850817,27361000.00000003
1475,12,35,14,25,50,10,1.5,2.0,2.0,1.4,5,55,0.04604722263334296,-0.26857887874837044,234999.99999999255
1476,15,25,14,45,70,21,4.0,0.5,2.0,1.2,5,55,0.6828935256308031,-0.21947236713746415,8628000.0
1477,12,20,10,25,55,10,3.5,1.0,2.0,1.2,5,55,1.4305106706560602,-0.13894465782122886,20339999.999999993
1478,15,30,18,30,60,10,3.0,1.0,1.0,1.0,10,45,2.3131039527621704,-0.08210128971374644,30697000.0
1479,8,30,14,40,55,10,3.5,1.5,2.0,1.4,20,55,1.1278981693946335,-0.16718875672014544,13978999.999999993
1480,12,30,18,40,55,21,2.0,1.5,1.0,1.0,20,45,1.2280050083856702,-0.10899052117575708,16865000.0
1481,10,25,14,45,55,10,3.5,2.0,2.0,1.2,15,50,0.9008555253924588,-0.16883556866418206,12147999.999999985
1482,5,40,18,25,60,14,5.0,1.0,2.0,1.4,10,50,1.6478388694719108,-0.15766743211072956,20854000.000000007
1483,12,25,18,25,65,21,3.0,1.0,2.0,1.2,10,45,1.023865423546864,-0.1971015073765234,11393000.000000015
1484,5,30,10,40,60,14,3.5,1.5,2.0,0.8,10,45,0.6898594690193073,-0.20841750094341707,10006999.99999997
1485,15,30,14,25,55,10,2.0,1.0,1.0,1.2,5,55,1.620374643572452,-0.10062535531552018,19597999.999999978
1486,8,20,10,40,70,21,1.5,2.0,1.5,1.0,15,55,1.0704671775782924,-0.14627186415599536,14378000.0
1487,12,40,18,40,60,10,1.5,1.0,1.5,1.0,10,55,0.794816051073192,-0.15191870739712177,10872000.000000015
1488,12,35,10,40,55,14,2.0,0.5,1.5,1.0,5,55,0.3606542219728453,-0.2415377176015473,4073999.9999999776
